依赖名,版本,许可证,类别,致谢位置,上游 URL
candle-core,0.8,MIT OR Apache-2.0,sparkfox,crates/sparkfox/sparkfox-embedding/NOTICE,https://github.com/huggingface/candle
candle-nn,0.8,MIT OR Apache-2.0,sparkfox,crates/sparkfox/sparkfox-embedding/NOTICE,https://github.com/huggingface/candle
candle-transformers,0.8,MIT OR Apache-2.0,sparkfox,crates/sparkfox/sparkfox-embedding/NOTICE,https://github.com/huggingface/candle
tokenizers,0.21,Apache-2.0,sparkfox,crates/sparkfox/sparkfox-embedding/NOTICE,https://github.com/huggingface/tokenizers
hf-hub,0.4,Apache-2.0,sparkfox,crates/sparkfox/sparkfox-embedding/NOTICE,https://github.com/huggingface/hf-hub
lopdf,0.34,MIT,sparkfox,crates/sparkfox/sparkfox-parser/NOTICE,https://github.com/J-F-Liu/lopdf
docx-rs,0.4,MIT,sparkfox,crates/sparkfox/sparkfox-parser/NOTICE,https://github.com/bokuweb/docx-rs
quick-xml,0.36,MIT,sparkfox,crates/sparkfox/sparkfox-parser/NOTICE,https://github.com/tafia/quick-xml
jsonrepair,0.1,MIT,sparkfox,crates/sparkfox/sparkfox-llm/NOTICE,https://github.com/josdejong/jsonrepair
tauri,2,MIT OR Apache-2.0,desktop,NOTICE,https://github.com/tauri-apps/tauri
tauri-build,2,MIT OR Apache-2.0,desktop,NOTICE,https://github.com/tauri-apps/tauri
tauri-plugin-single-instance,2,MIT OR Apache-2.0,desktop,NOTICE,https://github.com/tauri-apps/plugins-workspace
tauri-plugin-deep-link,2,MIT OR Apache-2.0,desktop,NOTICE,https://github.com/tauri-apps/plugins-workspace
tauri-plugin-dialog,2,MIT OR Apache-2.0,desktop,NOTICE,https://github.com/tauri-apps/plugins-workspace
tauri-plugin-notification,2,MIT OR Apache-2.0,desktop,NOTICE,https://github.com/tauri-apps/plugins-workspace
tauri-plugin-updater,2,MIT OR Apache-2.0,desktop,NOTICE,https://github.com/tauri-apps/plugins-workspace
tauri-plugin-process,2,MIT OR Apache-2.0,desktop,NOTICE,https://github.com/tauri-apps/plugins-workspace
tauri-plugin-autostart,2,MIT OR Apache-2.0,desktop,NOTICE,https://github.com/tauri-apps/plugins-workspace
keepawake,0.6,MIT OR Apache-2.0,desktop,NOTICE,https://github.com/ogxd/keepawake-rs
xcap,0.9,Apache-2.0,desktop,NOTICE,https://github.com/nashaofu/xcap
enigo,0.6,MIT OR Apache-2.0 OR Unlicense,desktop,NOTICE,https://github.com/enigo-rs/enigo
chromiumoxide,0.9,MIT OR Apache-2.0,desktop,NOTICE,https://github.com/mattsse/chromiumoxide
uiautomation,0.25,MIT,agent,NOTICE,https://github.com/leexgone/uiautomation-rs
windows,0.61,MIT OR Apache-2.0,agent,NOTICE,https://github.com/microsoft/windows-rs
windows-sys,0.61,MIT OR Apache-2.0,agent,NOTICE,https://github.com/microsoft/windows-rs
junction,1,MIT,agent,NOTICE,https://github.com/codota/junction-rs
dunce,1,MIT OR Apache-2.0,agent,NOTICE,https://github.com/sfackler/dunce
core-foundation,0.10,MIT OR Apache-2.0,agent,NOTICE,https://github.com/servo/core-foundation-rs
core-graphics,0.25,MIT OR Apache-2.0,agent,NOTICE,https://github.com/servo/core-foundation-rs
objc2,0.6,MIT,agent,NOTICE,https://github.com/madsmtm/objc2
objc2-foundation,0.3,MIT,agent,NOTICE,https://github.com/madsmtm/objc2
objc2-vision,0.3,MIT,agent,NOTICE,https://github.com/madsmtm/objc2
dispatch2,0.3,MIT,agent,NOTICE,https://github.com/nickel-org/dispatch2
atspi,0.30,MIT,agent,NOTICE,https://github.com/nickel-org/atspi
zbus,5,MIT,agent,NOTICE,https://github.com/dbus2/zbus
schemars,1,MIT,agent,NOTICE,https://github.com/GREsau/schemars
crc32fast,1.4,MIT OR Apache-2.0 OR Zlib,agent,NOTICE,https://github.com/zcorpan/crc32fast
rmcp,1.5,MIT OR Apache-2.0,agent,NOTICE,https://github.com/modelcontextprotocol/rust-sdk
if-addrs,0.13,MIT OR Apache-2.0,agent,NOTICE,https://github.com/messense/if-addrs
tempfile,3,MIT OR Apache-2.0,testing,NOTICE,https://github.com/Stebalien/tempfile
wiremock,0.6,MIT,testing,NOTICE,https://github.com/LukeMathWalker/wiremock-rs
tokio-test,0.4,MIT,testing,NOTICE,https://github.com/tokio-rs/tokio
mockall,0.14,MIT OR Apache-2.0,testing,NOTICE,https://github.com/asomers/mockall
rstest,0.26,MIT OR Apache-2.0,testing,NOTICE,https://github.com/la10736/rstest
serial_test,3,MIT,testing,NOTICE,https://github.com/palfrey/serial_test
insta,1.48,MIT,testing,NOTICE,https://github.com/mitsuhiko/insta
react,19.1.0,MIT,frontend,NOTICE,https://github.com/facebook/react
react-dom,19.1.0,MIT,frontend,NOTICE,https://github.com/facebook/react
react-router-dom,7.8.0,MIT,frontend,NOTICE,https://github.com/remix-run/react-router
react-i18next,14.0.5,MIT,frontend,NOTICE,https://github.com/i18next/react-i18next
i18next,23.7.16,MIT,frontend,NOTICE,https://github.com/i18next/i18next
@arco-design/web-react,2.66.1,MIT,frontend,NOTICE,https://github.com/arco-design/arco-design
zustand,5.0.0,MIT,frontend,NOTICE,https://github.com/pmndrs/zustand
swr,2.3.6,MIT,frontend,NOTICE,https://github.com/vercel/swr
dayjs,1.11.18,MIT OR Apache-2.0,frontend,NOTICE,https://github.com/iamkun/dayjs
classnames,2.5.1,MIT,frontend,NOTICE,https://github.com/JedWatson/classnames
zod,3.25.76,MIT,frontend,NOTICE,https://github.com/colinhacks/zod
openai,5.12.2,Apache-2.0,frontend,NOTICE,https://github.com/openai/openai-node
@anthropic-ai/sdk,0.71.2,MIT,frontend,NOTICE,https://github.com/anthropics/anthropic-sdk-typescript
@google/genai,1.16.0,Apache-2.0,frontend,NOTICE,https://github.com/googleapis/js-genai
@aws-sdk/client-bedrock,3.987.0,Apache-2.0,frontend,NOTICE,https://github.com/aws/aws-sdk-js-v3
@modelcontextprotocol/sdk,1.20.0,MIT,frontend,NOTICE,https://github.com/modelcontextprotocol/typescript-sdk
@agentclientprotocol/sdk,0.18.2,MIT,frontend,NOTICE,https://github.com/agentclientprotocol/agent-client-protocol
@xyflow/react,12.11.1,MIT,frontend,NOTICE,https://github.com/xyflow/xyflow
@xterm/xterm,5.5.0,MIT,frontend,NOTICE,https://github.com/xtermjs/xterm.js
@icon-park/react,1.4.2,MIT,frontend,NOTICE,https://github.com/bytedance/IconPark
@monaco-editor/react,4.7.0,MIT,frontend,NOTICE,https://github.com/suren-atoyan/monaco-react
@codemirror/view,6.38.6,MIT,frontend,NOTICE,https://github.com/codemirror/dev
@uiw/react-codemirror,4.25.2,MIT,frontend,NOTICE,https://github.com/uiwjs/react-codemirror
react-markdown,10.1.0,MIT,frontend,NOTICE,https://github.com/remarkjs/react-markdown
react-syntax-highlighter,16.1.0,MIT,frontend,NOTICE,https://github.com/react-syntax-highlighter/react-syntax-highlighter
remark-gfm,4.0.1,MIT,frontend,NOTICE,https://github.com/remarkjs/remark-gfm
rehype-katex,7.0.1,MIT,frontend,NOTICE,https://github.com/remarkjs/remark-rehype
katex,0.16.22,MIT,frontend,NOTICE,https://github.com/KaTeX/KaTeX
mermaid,11.13.0,MIT,frontend,NOTICE,https://github.com/mermaid-js/mermaid
diff2html,3.4.55,BSD-3-Clause,frontend,NOTICE,https://github.com/rtfpessoa/diff2html
diff,8.0.3,BSD-3-Clause,frontend,NOTICE,https://github.com/kpdecker/jsdiff
d3,7.9.0,ISC,frontend,NOTICE,https://github.com/d3/d3
three,0.169.0,MIT,frontend,NOTICE,https://github.com/mrdoob/three.js
onnxruntime-web,1.26.0,MIT,frontend,NOTICE,https://github.com/microsoft/onnxruntime
web-tree-sitter,0.25.10,MIT,frontend,NOTICE,https://github.com/tree-sitter/tree-sitter
turndown,7.2.2,MIT,frontend,NOTICE,https://github.com/mixmark-io/turndown
mammoth,1.11.0,BSD-2-Clause,frontend,NOTICE,https://github.com/mwilliamson/mammoth.js
docx,9.5.1,MIT,frontend,NOTICE,https://github.com/dolanmiu/docx
xlsx-republish,0.20.3,Apache-2.0,frontend,NOTICE,https://github.com/SheetJS/sheetjs
express,5.1.0,MIT,frontend,NOTICE,https://github.com/expressjs/express
ws,8.18.3,MIT,frontend,NOTICE,https://github.com/websockets/ws
jsonwebtoken,9.0.2,MIT,frontend,NOTICE,https://github.com/auth0/node-jsonwebtoken
bcryptjs,2.4.3,BSD-3-Clause OR MIT,frontend,NOTICE,https://github.com/dcodeIO/bcrypt.js
vite,6.4.1,MIT,frontend,NOTICE,https://github.com/vitejs/vite
typescript,5.8.3,Apache-2.0,frontend,NOTICE,https://github.com/microsoft/TypeScript
unocss,66.3.3,MIT,frontend,NOTICE,https://github.com/unocss/unocss
concurrently,9.2.1,MIT,build,NOTICE,https://github.com/open-cli-tools/concurrently
@tauri-apps/cli,2.1.0,MIT OR Apache-2.0,build,NOTICE,https://github.com/tauri-apps/tauri
@vitejs/plugin-react,4.3.4,MIT,build,NOTICE,https://github.com/vitejs/vite-plugin-react
